tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,nt_bpm,nt_base_count,nt_count,nt_contigs,nt_contig_b,nt_percent_identity,nt_alignment_length,nt_e_value,nr_bpm,nr_base_count,nr_count,nr_contigs,nr_contig_b,nr_percent_identity,nr_alignment_length,nr_e_value,species_tax_ids,known_pathogen
2803850,2,2803850,Mammaliicoccus,"",bacteria,false,0.405848,866,2,,,92.3325,407.0,10^-220.47,,,,,,,,,[1296],0
1296,1,2803850,Mammaliicoccus sciuri,"",bacteria,false,0.405848,866,2,,,92.3325,407.0,10^-220.47,,,,,,,,,,0
2800686,2,2800686,Tsuneonella,"",bacteria,false,2.1853,4663,2,,,86.321,1012.0,10^-307.653,,,,,,,,,"[2338327, 692370]",0
2338327,1,2800686,Tsuneonella amylolytica,"",bacteria,false,0.55722,1189,1,,,87.115,877.0,10^-307.653,,,,,,,,,,0
692370,1,2800686,Tsuneonella dongtanensis,"",bacteria,false,1.62808,3474,1,,,85.527,1147.0,10^-307.653,,,,,,,,,,0
2795377,2,2795377,Pelagovum,"",bacteria,false,0.627049,1338,1,,,88.806,1340.0,10^-307.653,,,,,,,,,[2588711],0
2588711,1,2795377,Pelagovum pacificum,"",bacteria,false,0.627049,1338,1,,,88.806,1340.0,10^-307.653,,,,,,,,,,0
2789201,2,2789201,Candidatus Vampirococcus,"",bacteria,false,1.52029,3244,2,,,88.5645,1617.5,10^-307.653,,,,,,,,,[1930593],0
1930593,1,2789201,Candidatus Vampirococcus archaeovorus,"",bacteria,false,1.52029,3244,2,,,88.5645,1617.5,10^-307.653,,,,,,,,,,0
2782231,2,2782231,Kaistella,"",bacteria,false,0.91386,1950,2,,,91.5515,933.5,10^-307.653,,,,,,,,,[421525],0
421525,1,2782231,Chryseobacterium haifense,"",bacteria,false,0.91386,1950,2,,,91.5515,933.5,10^-307.653,,,,,,,,,,0
2782229,2,2782229,Epilithonimonas,"",bacteria,false,6.83567,14586,14,,,92.6184,814.786,10^-270.211,4.8458,10340,8,1,10340,44.4,430.0,10^-92.3354,"[2487072, 191577]",0
2487072,1,2782229,Epilithonimonas vandammei,"",bacteria,false,6.83567,14586,14,,,92.6184,814.786,10^-270.211,,,,,,,,,,0
191577,1,2782229,Epilithonimonas tenax,"",bacteria,false,,,,,,,,,4.8458,10340,8,1,10340,44.4,430.0,10^-92.3354,,0
2782228,2,2782228,Planobacterium,"",bacteria,false,5.33507,11384,8,,,93.0601,518.0,10^-257.027,,,,,,,,,[536441],0
536441,1,2782228,Chryseobacterium taklimakanense,"",bacteria,false,5.33507,11384,8,,,93.0601,518.0,10^-257.027,,,,,,,,,,0
2773294,2,2773294,Desulfolutivibrio,"",bacteria,false,0.714217,1524,2,,,93.3535,746.0,10^-273.661,,,,,,,,,[2773299],0
2773299,1,2773294,Desulfolutivibrio sulfoxidireducens,"",bacteria,false,0.714217,1524,2,,,93.3535,746.0,10^-273.661,,,,,,,,,,0
2772198,2,2772198,Sulfurimicrobium,"",bacteria,false,0.765299,1633,1,,,85.863,863.0,10^-307.653,,,,,,,,,[2715678],0
2715678,1,2772198,Sulfurimicrobium lacus,"",bacteria,false,0.765299,1633,1,,,85.863,863.0,10^-307.653,,,,,,,,,,0
2767889,2,2767889,Loigolactobacillus,"",bacteria,false,0.180897,386,1,,,93.66,347.0,10^-194.453,,,,,,,,,[1610],0
1610,1,2767889,Lactobacillus coryniformis,"",bacteria,false,0.180897,386,1,,,93.66,347.0,10^-194.453,,,,,,,,,,0
2767888,2,2767888,Liquorilactobacillus,"",bacteria,false,240.098,512322,188,1,502596,87.7765,2350.94,10^-306.963,,,,,,,,,"[468911, 82688, 1618]",0
468911,1,2767888,Lactobacillus hordei,"",bacteria,false,3.48766,7442,2,,,92.971,3409.0,10^-307.653,,,,,,,,,,0
82688,1,2767888,Liquorilactobacillus nagelii,"",bacteria,false,1.07039,2284,3,,,93.7973,665.667,10^-264.445,,,,,,,,,,0
1618,1,2767888,Lactobacillus mali,"",bacteria,false,235.54,502596,183,1,502596,87.621,2367.0,10^-307.653,,,,,,,,,,0
2767887,2,2767887,Ligilactobacillus,"",bacteria,false,123.375,263259,140,,,92.1517,1649.99,10^-283.086,,,,,,,,,"[1624, 1623, 1601]",0
1624,1,2767887,Ligilactobacillus salivarius,"",bacteria,false,7.84045,16730,11,,,94.2435,1499.73,10^-285.234,,,,,,,,,,0
1623,1,2767887,Ligilactobacillus ruminis,"",bacteria,false,115.324,246078,128,,,91.9645,1672.52,10^-283.278,,,,,,,,,,0
1601,1,2767887,Ligilactobacillus agilis,"",bacteria,false,0.211359,451,1,,,93.095,420.0,10^-234.855,,,,,,,,,,0
2767886,2,2767886,Levilactobacillus,"",bacteria,false,2.41775,5159,5,,,96.2254,390.4,10^-197.126,,,,,,,,,"[2292255, 1580]",0
2292255,1,2767886,Lactobacillus suantsaii,"",bacteria,false,0.142937,305,1,,,97.656,256.0,10^-154.101,,,,,,,,,,0
1580,1,2767886,Levilactobacillus brevis,"",bacteria,false,2.27481,4854,4,,,95.8678,424.0,10^-207.882,,,,,,,,,,0
2767885,2,2767885,Latilactobacillus,"",bacteria,false,1.33049,2839,1,,,90.603,713.0,10^-307.653,,,,,,,,,[1599],0
1599,1,2767885,Latilactobacillus sakei,"",bacteria,false,1.33049,2839,1,,,90.603,713.0,10^-307.653,,,,,,,,,,0
2767879,2,2767879,Companilactobacillus,"",bacteria,false,0.42225,901,2,,,94.954,403.0,10^-234.188,,,,,,,,,[1612],0
1612,1,2767879,Companilactobacillus farciminis,"",bacteria,false,0.42225,901,2,,,94.954,403.0,10^-234.188,,,,,,,,,,0
2767876,2,2767876,Amylolactobacillus,"",bacteria,false,0.385227,822,1,,,90.728,453.0,10^-239.626,,,,,,,,,[1603],0
1603,1,2767876,Amylolactobacillus amylophilus,"",bacteria,false,0.385227,822,1,,,90.728,453.0,10^-239.626,,,,,,,,,,0
2767842,2,2767842,Lactiplantibacillus,"",bacteria,false,7.60941,16237,14,,,92.1499,978.286,10^-263.239,,,,,,,,,[1590],0
1590,1,2767842,Lactiplantibacillus plantarum,"",bacteria,false,7.60941,16237,14,,,92.1499,978.286,10^-263.239,,,,,,,,,,0
2759736,2,2759736,Lacticaseibacillus,"",bacteria,false,0.570342,1217,3,,,95.2133,377.333,10^-220.722,,,,,,,,,"[47715, 1597]",0
47715,1,2759736,Lacticaseibacillus rhamnosus,"",bacteria,false,0.19027,406,1,,,94.709,378.0,10^-218.433,,,,,,,,,,0
1597,1,2759736,Lacticaseibacillus paracasei,"",bacteria,false,0.380072,811,2,,,95.4655,377.0,10^-221.866,,,,,,,,,,0
2749267,2,2749267,Amedibacterium,"",bacteria,false,0.338831,723,1,,,92.544,684.0,10^-307.653,,,,,,,,,[2583452],0
2583452,1,2749267,Amedibacterium intestinale,"",bacteria,false,0.338831,723,1,,,92.544,684.0,10^-307.653,,,,,,,,,,0
2742598,2,2742598,Limosilactobacillus,"",bacteria,false,22.316,47618,52,,,93.412,833.577,10^-259.823,,,,,,,,,"[227942, 97478, 35787, 1632, 1613]",0
227942,1,2742598,Lactobacillus gastricus,"",bacteria,false,0.576903,1231,1,,,92.857,1218.0,10^-307.653,,,,,,,,,,0
97478,1,2742598,Lactobacillus mucosae,"",bacteria,false,6.7232,14346,15,,,92.666,929.267,10^-254.749,,,,,,,,,,0
35787,1,2742598,Lactobacillus pontis,"",bacteria,false,0.585808,1250,1,,,91.7,1253.0,10^-307.653,,,,,,,,,,0
1632,1,2742598,Limosilactobacillus oris,"",bacteria,false,1.26675,2703,6,,,94.45,411.5,10^-234.079,,,,,,,,,,0
1613,1,2742598,Limosilactobacillus fermentum,"",bacteria,false,13.1633,28088,29,,,93.6613,843.69,10^-264.476,,,,,,,,,,0
2733144,2,2733144,Giessenvirus,"",viruses,true,0.273689,584,1,,,90.943,541.0,10^-290.327,,,,,,,,,[2734159],0
2734159,1,2733144,Escherichia virus C1302,"",viruses,true,0.273689,584,1,,,90.943,541.0,10^-290.327,,,,,,,,,,0
2733134,2,2733134,Taranisvirus,"",viruses,true,0.328052,700,1,,,95.148,371.0,10^-216.382,,,,,,,,,[2734146],0
2734146,1,2733134,Faecalibacterium virus Taranis,"",viruses,true,0.328052,700,1,,,95.148,371.0,10^-216.382,,,,,,,,,,0
2733130,2,2733130,Salmondvirus,"",viruses,true,2.18483,4662,8,,,95.2178,550.25,10^-259.002,,,,,,,,,"[2734142, 2734141, 2283030]",0
2734142,1,2733130,Dickeya virus JA29,"",viruses,true,0.229637,490,1,,,90.991,444.0,10^-236.204,,,,,,,,,,0
