tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,nt_bpm,nt_base_count,nt_count,nt_contigs,nt_contig_b,nt_percent_identity,nt_alignment_length,nt_e_value,nr_bpm,nr_base_count,nr_count,nr_contigs,nr_contig_b,nr_percent_identity,nr_alignment_length,nr_e_value,species_tax_ids,known_pathogen
2789775,2,2789775,Actinomarinicola,"",bacteria,false,0.275789,465,1,,,91.198,409.0,10^-217.712,,,,,,,,,[2789776],0
2789776,1,2789775,Actinomarinicola tropica,"",bacteria,false,0.275789,465,1,,,91.198,409.0,10^-217.712,,,,,,,,,,0
2789201,2,2789201,Candidatus Vampirococcus,"",bacteria,false,1.69388,2856,4,,,90.515,586.5,10^-278.1,,,,,,,,,[1930593],0
1930593,1,2789201,Candidatus Vampirococcus archaeovorus,"",bacteria,false,1.69388,2856,4,,,90.515,586.5,10^-278.1,,,,,,,,,,0
2782231,2,2782231,Kaistella,"",bacteria,false,13.127,22133,17,,,92.008,1125.59,10^-291.478,,,,,,,,,"[1241979, 421525]",0
1241979,1,2782231,Chryseobacterium carnis,"",bacteria,false,4.11312,6935,6,,,91.931,779.667,10^-282.131,,,,,,,,,,0
421525,1,2782231,Chryseobacterium haifense,"",bacteria,false,9.01386,15198,11,,,92.05,1314.27,10^-296.575,,,,,,,,,,0
2782229,2,2782229,Epilithonimonas,"",bacteria,false,41.0214,69165,39,,,91.7901,1267.64,10^-285.496,,,,,,,,,[2487072],0
2487072,1,2782229,Epilithonimonas vandammei,"",bacteria,false,41.0214,69165,39,,,91.7901,1267.64,10^-285.496,,,,,,,,,,0
2782228,2,2782228,Planobacterium,"",bacteria,false,80.7784,136198,54,1,130127,93.0642,1398.63,10^-307.653,77.1777,130127,50,1,130127,96.6,406.0,10^-275.365,[536441],0
536441,1,2782228,Chryseobacterium taklimakanense,"",bacteria,false,80.7784,136198,54,1,130127,93.0642,1398.63,10^-307.653,77.1777,130127,50,1,130127,96.6,406.0,10^-275.365,,0
2782172,2,2782172,Algicoccus,"",bacteria,false,0.313747,529,1,,,92.905,451.0,10^-251.979,,,,,,,,,[2163011],0
2163011,1,2782172,Algicoccus marinus,"",bacteria,false,0.313747,529,1,,,92.905,451.0,10^-251.979,,,,,,,,,,0
2779937,2,2779937,Podila,"",eukaryota,false,,,,,,,,,58.4715,98587,67,1,98587,73.3,2340.0,10^-307.653,[78898],0
78898,1,2779937,Podila verticillata,"",eukaryota,false,,,,,,,,,58.4715,98587,67,1,98587,73.3,2340.0,10^-307.653,,0
2779861,2,2779861,Linnemannia,"",eukaryota,false,,,,,,,,,122.678,206844,88,4,206844,47.5091,1618.24,10^-252.191,[64522],0
64522,1,2779861,Linnemannia gamsii,"",eukaryota,false,,,,,,,,,122.678,206844,88,4,206844,47.5091,1618.24,10^-252.191,,0
2773294,2,2773294,Desulfolutivibrio,"",bacteria,false,2.18556,3685,3,,,90.947,581.0,10^-237.896,,,,,,,,,[2773299],0
2773299,1,2773294,Desulfolutivibrio sulfoxidireducens,"",bacteria,false,2.18556,3685,3,,,90.947,581.0,10^-237.896,,,,,,,,,,0
2772198,2,2772198,Sulfurimicrobium,"",bacteria,false,3.80708,6419,4,,,90.1673,931.75,10^-303.286,,,,,,,,,[2715678],0
2715678,1,2772198,Sulfurimicrobium lacus,"",bacteria,false,3.80708,6419,4,,,90.1673,931.75,10^-303.286,,,,,,,,,,0
2767893,2,2767893,Lentilactobacillus,"",bacteria,false,0.416946,703,1,,,86.429,700.0,10^-307.653,,,,,,,,,[152331],0
152331,1,2767893,Lentilactobacillus parabuchneri,"",bacteria,false,0.416946,703,1,,,86.429,700.0,10^-307.653,,,,,,,,,,0
2767891,2,2767891,Schleiferilactobacillus,"",bacteria,false,0.343402,579,1,,,94.843,543.0,10^-307.653,,,,,,,,,[304207],0
304207,1,2767891,Lactobacillus harbinensis,"",bacteria,false,0.343402,579,1,,,94.843,543.0,10^-307.653,,,,,,,,,,0
2767888,2,2767888,Liquorilactobacillus,"",bacteria,false,0.301886,509,1,,,93.407,455.0,10^-257.465,,,,,,,,,[82688],0
82688,1,2767888,Liquorilactobacillus nagelii,"",bacteria,false,0.301886,509,1,,,93.407,455.0,10^-257.465,,,,,,,,,,0
2767887,2,2767887,Ligilactobacillus,"",bacteria,false,181.937,306758,229,,,93.5819,1151.29,10^-272.822,,,,,,,,,"[1624, 1623, 1622, 1601]",0
1624,1,2767887,Ligilactobacillus salivarius,"",bacteria,false,36.8692,62164,51,,,95.2393,1155.94,10^-264.316,,,,,,,,,,0
1623,1,2767887,Ligilactobacillus ruminis,"",bacteria,false,135.996,229299,166,,,92.9809,1188.22,10^-276.372,,,,,,,,,,0
1622,1,2767887,Lactobacillus murinus,"",bacteria,false,5.59823,9439,3,,,94.7653,638.0,10^-214.175,,,,,,,,,,0
1601,1,2767887,Ligilactobacillus agilis,"",bacteria,false,3.47317,5856,9,,,94.8793,614.778,10^-275.085,,,,,,,,,,0
2767886,2,2767886,Levilactobacillus,"",bacteria,false,1.13993,1922,1,,,92.739,482.0,10^-269.105,,,,,,,,,[1580],0
1580,1,2767886,Levilactobacillus brevis,"",bacteria,false,1.13993,1922,1,,,92.739,482.0,10^-269.105,,,,,,,,,,0
2767842,2,2767842,Lactiplantibacillus,"",bacteria,false,2.95717,4986,3,,,95.852,1556.33,10^-285.632,,,,,,,,,"[271881, 1590]",0
271881,1,2767842,Lactiplantibacillus argentoratensis,"",bacteria,false,2.67189,4505,2,,,94.9145,2114.5,10^-291.131,,,,,,,,,,0
1590,1,2767842,Lactiplantibacillus plantarum,"",bacteria,false,0.285279,481,1,,,97.727,440.0,10^-274.634,,,,,,,,,,0
2767327,2,2767327,Fannyhessea,"",bacteria,false,0.251472,424,1,,,92.798,361.0,10^-198.553,,,,,,,,,[82135],0
82135,1,2767327,Fannyhessea vaginae,"",bacteria,false,0.251472,424,1,,,92.798,361.0,10^-198.553,,,,,,,,,,0
2760873,2,2760873,Tenuifilum,"",bacteria,false,0.616226,1039,1,,,88.813,733.0,10^-307.653,,,,,,,,,[2590900],0
2590900,1,2760873,Tenuifilum thalassicum,"",bacteria,false,0.616226,1039,1,,,88.813,733.0,10^-307.653,,,,,,,,,,0
2759736,2,2759736,Lacticaseibacillus,"",bacteria,false,0.20877,352,1,,,95.031,322.0,10^-185.566,,,,,,,,,[1597],0
1597,1,2759736,Lacticaseibacillus paracasei,"",bacteria,false,0.20877,352,1,,,95.031,322.0,10^-185.566,,,,,,,,,,0
2749267,2,2749267,Amedibacterium,"",bacteria,false,2.72705,4598,4,,,94.5352,653.25,10^-286.156,,,,,,,,,[2583452],0
2583452,1,2749267,Amedibacterium intestinale,"",bacteria,false,2.72705,4598,4,,,94.5352,653.25,10^-286.156,,,,,,,,,,0
2742598,2,2742598,Limosilactobacillus,"",bacteria,false,35.868,60476,55,,,93.6288,854.0,10^-269.35,,,,,,,,,"[97478, 35787, 1633, 1613, 1598]",0
97478,1,2742598,Lactobacillus mucosae,"",bacteria,false,15.8985,26806,26,,,93.9395,742.577,10^-269.763,,,,,,,,,,0
35787,1,2742598,Lactobacillus pontis,"",bacteria,false,1.81369,3058,2,,,92.46,1530.5,10^-307.653,,,,,,,,,,0
1633,1,2742598,Lactobacillus vaginalis,"",bacteria,false,0.991062,1671,3,,,93.632,505.0,10^-272.195,,,,,,,,,,0
1613,1,2742598,Limosilactobacillus fermentum,"",bacteria,false,6.62013,11162,18,,,93.2068,530.889,10^-257.239,,,,,,,,,,0
1598,1,2742598,Limosilactobacillus reuteri,"",bacteria,false,10.5446,17779,6,,,93.9362,2255.17,10^-289.704,,,,,,,,,,0
2733199,2,2733199,Oengusvirus,"",viruses,true,0.221225,373,1,,,97.391,345.0,10^-210.924,,,,,,,,,[2734262],0
2734262,1,2733199,Faecalibacterium virus Oengus,"",viruses,true,0.221225,373,1,,,97.391,345.0,10^-210.924,,,,,,,,,,0
2733138,2,2733138,Toutatisvirus,"",viruses,true,0.338657,571,1,,,95.628,549.0,10^-307.653,,,,,,,,,[2734150],0
2734150,1,2733138,Faecalibacterium virus Toutatis,"",viruses,true,0.338657,571,1,,,95.628,549.0,10^-307.653,,,,,,,,,,0
2733130,2,2733130,Salmondvirus,"",viruses,true,1.08062,1822,1,,,92.846,1845.0,10^-307.653,,,,,,,,,[2283030],0
2283030,1,2733130,Dickeya phage vB_DsoM_JA13,"",viruses,true,1.08062,1822,1,,,92.846,1845.0,10^-307.653,,,,,,,,,,0
2733124,2,2733124,Phapecoctavirus,"",viruses,true,0.363567,613,1,,,96.807,595.0,10^-307.653,,,,,,,,,[2697090],0
2697090,1,2733124,Escherichia phage vB_EcoM_UP17,"",viruses,true,0.363567,613,1,,,96.807,595.0,10^-307.653,,,,,,,,,,0
2733105,2,2733105,Goslarvirus,"",viruses,true,0.532007,897,2,,,94.099,400.0,10^-223.908,,,,,,,,,[2734109],0
