tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,nt_bpm,nt_base_count,nt_count,nt_contigs,nt_contig_b,nt_percent_identity,nt_alignment_length,nt_e_value,nr_bpm,nr_base_count,nr_count,nr_contigs,nr_contig_b,nr_percent_identity,nr_alignment_length,nr_e_value,species_tax_ids,known_pathogen
2794837,2,2794837,Schnuerera,"",bacteria,false,9.07433,14141,4,,,93.231,3252.0,10^-307.653,,,,,,,,,[45497],0
45497,1,2794837,Schnuerera ultunensis,"",bacteria,false,9.07433,14141,4,,,93.231,3252.0,10^-307.653,,,,,,,,,,0
2782231,2,2782231,Kaistella,"",bacteria,false,25.5109,39755,27,,,93.4668,1344.93,10^-283.997,,,,,,,,,[421525],0
421525,1,2782231,Chryseobacterium haifense,"",bacteria,false,25.5109,39755,27,,,93.4668,1344.93,10^-283.997,,,,,,,,,,0
2782229,2,2782229,Epilithonimonas,"",bacteria,false,15.6069,24321,25,,,92.8226,730.96,10^-269.473,,,,,,,,,"[2487072, 1241981]",0
2487072,1,2782229,Epilithonimonas vandammei,"",bacteria,false,15.3085,23856,24,,,92.9083,742.917,10^-270.917,,,,,,,,,,0
1241981,1,2782229,Chryseobacterium lactis,"",bacteria,false,0.298392,465,1,,,90.766,444.0,10^-234.831,,,,,,,,,,0
2782228,2,2782228,Planobacterium,"",bacteria,false,5.60592,8736,7,,,91.4927,802.286,10^-271.833,,,,,,,,,[536441],0
536441,1,2782228,Chryseobacterium taklimakanense,"",bacteria,false,5.60592,8736,7,,,91.4927,802.286,10^-271.833,,,,,,,,,,0
2782172,2,2782172,Algicoccus,"",bacteria,false,5.79202,9026,1,,,85.127,1217.0,10^-307.653,,,,,,,,,[2163011],0
2163011,1,2782172,Algicoccus marinus,"",bacteria,false,5.79202,9026,1,,,85.127,1217.0,10^-307.653,,,,,,,,,,0
2779861,2,2779861,Linnemannia,"",eukaryota,false,,,,,,,,,38.5009,59998,18,1,59998,45.3,1998.0,10^-307.653,[64522],0
64522,1,2779861,Linnemannia gamsii,"",eukaryota,false,,,,,,,,,38.5009,59998,18,1,59998,45.3,1998.0,10^-307.653,,0
2772198,2,2772198,Sulfurimicrobium,"",bacteria,false,2.3788,3707,4,,,90.2343,803.75,10^-272.387,,,,,,,,,[2715678],0
2715678,1,2772198,Sulfurimicrobium lacus,"",bacteria,false,2.3788,3707,4,,,90.2343,803.75,10^-272.387,,,,,,,,,,0
2767887,2,2767887,Ligilactobacillus,"",bacteria,false,44.0382,68627,49,,,91.8852,1113.73,10^-286.986,,,,,,,,,"[1623, 1605]",0
1623,1,2767887,Ligilactobacillus ruminis,"",bacteria,false,42.5661,66333,48,,,91.814,1100.56,10^-286.556,,,,,,,,,,0
1605,1,2767887,Lactobacillus animalis,"",bacteria,false,1.47207,2294,1,,,95.304,1746.0,10^-307.653,,,,,,,,,,0
2767885,2,2767885,Latilactobacillus,"",bacteria,false,1.05432,1643,2,,,94.667,630.0,10^-307.653,,,,,,,,,[1599],0
1599,1,2767885,Latilactobacillus sakei,"",bacteria,false,1.05432,1643,2,,,94.667,630.0,10^-307.653,,,,,,,,,,0
2767842,2,2767842,Lactiplantibacillus,"",bacteria,false,5.14582,8019,4,,,94.9037,2006.0,10^-307.653,,,,,,,,,[1590],0
