tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,nt_bpm,nt_base_count,nt_count,nt_contigs,nt_contig_b,nt_percent_identity,nt_alignment_length,nt_e_value,nr_bpm,nr_base_count,nr_count,nr_contigs,nr_contig_b,nr_percent_identity,nr_alignment_length,nr_e_value,species_tax_ids,known_pathogen
2782231,2,2782231,Kaistella,"",bacteria,false,119.451,157471,47,1,36805,90.1817,2542.83,10^-305.266,,,,,,,,,"[2487074, 421525]",0
2487074,1,2782231,Kaistella daneshvariae,"",bacteria,false,4.82898,6366,1,,,86.006,1079.0,10^-307.653,,,,,,,,,,0
421525,1,2782231,Chryseobacterium haifense,"",bacteria,false,114.622,151105,46,1,36805,90.2725,2574.65,10^-305.214,,,,,,,,,,0
2782229,2,2782229,Epilithonimonas,"",bacteria,false,212.956,280738,75,1,35269,89.591,2554.2,10^-306.418,132.217,174301,45,2,174301,83.8133,769.378,10^-307.653,"[2487072, 1617282, 1241981, 421530]",0
2487072,1,2782229,Epilithonimonas vandammei,"",bacteria,false,210.637,277681,74,1,35269,89.5883,2571.24,10^-306.401,,,,,,,,,,0
1617282,1,2782229,Chryseobacterium arachidiradicis,"",bacteria,false,,,,,,,,,85.8787,113213,34,1,113213,87.7,676.0,10^-307.653,,0
1241981,1,2782229,Chryseobacterium lactis,"",bacteria,false,2.31891,3057,1,,,89.791,1293.0,10^-307.653,,,,,,,,,,0
421530,1,2782229,Chryseobacterium bovis,"",bacteria,false,,,,,,,,,46.3388,61088,11,1,61088,71.8,1058.0,10^-307.653,,0
2782228,2,2782228,Planobacterium,"",bacteria,false,30.0055,39556,11,,,90.7506,1547.0,10^-299.273,,,,,,,,,[536441],0
536441,1,2782228,Chryseobacterium taklimakanense,"",bacteria,false,30.0055,39556,11,,,90.7506,1547.0,10^-299.273,,,,,,,,,,0
2779937,2,2779937,Podila,"",eukaryota,false,,,,,,,,,115.421,152158,38,1,152158,69.3,2863.0,10^-307.653,[78898],0
78898,1,2779937,Podila verticillata,"",eukaryota,false,,,,,,,,,115.421,152158,38,1,152158,69.3,2863.0,10^-307.653,,0
2779861,2,2779861,Linnemannia,"",eukaryota,false,,,,,,,,,45.49,59969,16,1,59969,58.1,1727.0,10^-307.653,[64522],0
64522,1,2779861,Linnemannia gamsii,"",eukaryota,false,,,,,,,,,45.49,59969,16,1,59969,58.1,1727.0,10^-307.653,,0
2772198,2,2772198,Sulfurimicrobium,"",bacteria,false,3.63577,4793,1,,,88.79,4853.0,10^-307.653,,,,,,,,,[2715678],0
2715678,1,2772198,Sulfurimicrobium lacus,"",bacteria,false,3.63577,4793,1,,,88.79,4853.0,10^-307.653,,,,,,,,,,0
2767893,2,2767893,Lentilactobacillus,"",bacteria,false,0.72063,950,1,,,87.775,818.0,10^-307.653,,,,,,,,,[33962],0
33962,1,2767893,Lentilactobacillus kefiri,"",bacteria,false,0.72063,950,1,,,87.775,818.0,10^-307.653,,,,,,,,,,0
2767887,2,2767887,Ligilactobacillus,"",bacteria,false,7.1259,9394,2,,,94.343,4763.0,10^-307.653,,,,,,,,,[1624],0
1624,1,2767887,Ligilactobacillus salivarius,"",bacteria,false,7.1259,9394,2,,,94.343,4763.0,10^-307.653,,,,,,,,,,0
2742598,2,2742598,Limosilactobacillus,"",bacteria,false,0.411139,542,1,,,91.502,506.0,10^-274.573,,,,,,,,,[97478],0
97478,1,2742598,Lactobacillus mucosae,"",bacteria,false,0.411139,542,1,,,91.502,506.0,10^-274.573,,,,,,,,,,0
2715289,2,2715289,Amniculibacterium,"",bacteria,false,284.421,374949,88,1,278914,89.7071,4278.3,10^-306.217,,,,,,,,,[2767188],0
2767188,1,2715289,Amniculibacterium sp. G2-70,"",bacteria,false,284.421,374949,88,1,278914,89.7071,4278.3,10^-306.217,,,,,,,,,,0
2706000,2,2706000,Casimicrobium,"",bacteria,false,10.5364,13890,2,,,95.1595,2685.0,10^-294.219,,,,,,,,,[2591109],0
2591109,1,2706000,Casimicrobium huifangae,"",bacteria,false,10.5364,13890,2,,,95.1595,2685.0,10^-294.219,,,,,,,,,,0
2680021,2,2680021,Ephemeroptericola,"",bacteria,false,12.1521,16020,4,,,84.6992,2996.0,10^-307.653,,,,,,,,,[2268024],0
2268024,1,2680021,Ephemeroptericola cinctiostellae,"",bacteria,false,12.1521,16020,4,,,84.6992,2996.0,10^-307.653,,,,,,,,,,0
2569097,2,2569097,Anaerobutyricum,"",bacteria,false,0.377762,498,1,,,95.634,481.0,10^-287.633,,,,,,,,,[39488],0
39488,1,2569097,Anaerobutyricum hallii,"",bacteria,false,0.377762,498,1,,,95.634,481.0,10^-287.633,,,,,,,,,,0
2529408,2,2529408,Schaalia,"",bacteria,false,18.9753,25015,6,,,90.2848,2881.33,10^-307.653,,,,,,,,,[2758572],0
2758572,1,2529408,Schaalia sp. JY-X169,"",bacteria,false,18.9753,25015,6,,,90.2848,2881.33,10^-307.653,,,,,,,,,,0
2321114,2,2321114,Malaciobacter,"",bacteria,false,9.68148,12763,2,,,91.9215,1367.0,10^-307.653,,,,,,,,,[1080223],0
1080223,1,2321114,Malaciobacter pacificus,"",bacteria,false,9.68148,12763,2,,,91.9215,1367.0,10^-307.653,,,,,,,,,,0
2321113,2,2321113,Pseudoarcobacter,"",bacteria,false,131.58,173460,61,,,91.8843,2193.52,10^-300.827,,,,,,,,,[1849015],0
1849015,1,2321113,Pseudoarcobacter acticola,"",bacteria,false,131.58,173460,61,,,91.8843,2193.52,10^-300.827,,,,,,,,,,0
2321111,2,2321111,Aliarcobacter,"",bacteria,false,15.6286,20603,10,,,90.897,1390.2,10^-307.653,,,,,,,,,"[1935204, 1564138]",0
1935204,1,2321111,[Arcobacter] porcinus,"",bacteria,false,6.68062,8807,5,,,91.0566,1060.6,10^-307.653,,,,,,,,,,0
1564138,1,2321111,Aliarcobacter faecis,"",bacteria,false,8.94795,11796,5,,,90.7374,1719.8,10^-307.653,,,,,,,,,,0
2316020,2,2316020,Mediterraneibacter,"",bacteria,false,0.672083,886,1,,,92.229,875.0,10^-307.653,,,,,,,,,[33038],0
33038,1,2316020,[Ruminococcus] gnavus,"",bacteria,false,0.672083,886,1,,,92.229,875.0,10^-307.653,,,,,,,,,,0
2282523,2,2282523,Methylorubrum,"",bacteria,false,5.52306,7281,1,,,82.408,2035.0,10^-307.653,,,,,,,,,[408],0
408,1,2282523,Methylorubrum extorquens,"",bacteria,false,5.52306,7281,1,,,82.408,2035.0,10^-307.653,,,,,,,,,,0
2069291,2,2069291,Abscondita,"",eukaryota,false,,,,,,,,,5183.42,6833255,1676,7,6833255,73.344,1627.88,10^-307.653,[2069292],0
2069292,1,2069291,Abscondita terminalis,"",eukaryota,false,,,,,,,,,5183.42,6833255,1676,7,6833255,73.344,1627.88,10^-307.653,,0
2019482,2,2019482,Brevefilum,"",bacteria,false,0.590158,778,1,,,95.179,726.0,10^-307.653,,,,,,,,,[1986204],0
1986204,1,2019482,Brevefilum fermentans,"",bacteria,false,0.590158,778,1,,,95.179,726.0,10^-307.653,,,,,,,,,,0
1918538,2,1918538,Longibaculum,"",bacteria,false,0.534784,705,1,,,96.852,667.0,10^-307.653,,,,,,,,,[2584943],0
2584943,1,1918538,Longibaculum sp. KGMB06250,"",bacteria,false,0.534784,705,1,,,96.852,667.0,10^-307.653,,,,,,,,,,0
1870884,2,1870884,Clostridioides,"",bacteria,false,2.2332,2944,1,,,82.856,2794.0,10^-307.653,,,,,,,,,[1496],1
1496,1,1870884,Clostridioides difficile,"",bacteria,false,2.2332,2944,1,,,82.856,2794.0,10^-307.653,,,,,,,,,,1
1866885,2,1866885,Mycolicibacterium,"",bacteria,false,33.8765,44659,11,,,90.2767,2995.36,10^-300.783,,,,,,,,,"[319706, 56689]",0
319706,1,1866885,Mycolicibacterium phocaicum,"",bacteria,false,32.4162,42734,10,,,90.1233,3104.4,10^-300.096,,,,,,,,,,0
56689,1,1866885,Mycolicibacterium mucogenicum,"",bacteria,false,1.46022,1925,1,,,91.811,1905.0,10^-307.653,,,,,,,,,,0
1822464,2,1822464,Paraburkholderia,"",bacteria,false,4.23351,5581,1,,,93.2,2647.0,10^-307.653,,,,,,,,,[36873],0
36873,1,1822464,Paraburkholderia xenovorans,"",bacteria,false,4.23351,5581,1,,,93.2,2647.0,10^-307.653,,,,,,,,,,0
1769012,2,1769012,Arachidicoccus,"",bacteria,false,1.58842,2094,1,,,86.278,1268.0,10^-307.653,,,,,,,,,[2341117],0
2341117,1,1769012,Arachidicoccus soli,"",bacteria,false,1.58842,2094,1,,,86.278,1268.0,10^-307.653,,,,,,,,,,0
1742989,2,1742989,Glutamicibacter,"",bacteria,false,0.314043,414,1,,,94.792,288.0,10^-163.656,,,,,,,,,[37929],0
